"","optimal_cutoff","optimal_SUVcutoff","acc","rmse","f1","auc","sens","spec","fnr","fpr","plr","nlr"
"1",0.918,10.3707486574966,0.875,0.392503750505181,0.545454545454545,0.792207792207792,0.428571428571429,0.96969696969697,0.571428571428571,0.0303030303030303,14.1428571428572,0.589285714285714
"2",0.262,3.96193127287495,0.9,0.30525483789141,0.75,0.90625,0.75,0.9375,0.25,0.0625,12,0.266666666666667
"3",0.19,3.26030524871891,0.775,0.406153011008267,0.608695652173913,0.795,0.7,0.8,0.3,0.2,3.5,0.375
"4",0.556,6.78232810080243,0.9,0.32713876256388,0.6,0.745098039215686,0.5,0.970588235294118,0.5,0.0294117647058824,17,0.515151515151515
"5",0.166,2.85827211210756,0.775,0.367622281705142,0.64,0.843260188087774,0.727272727272727,0.793103448275862,0.272727272727273,0.206896551724138,3.51515151515152,0.343873517786561
"6",0.212,3.44912926371438,0.9,0.317402516131684,0.818181818181818,0.885579937304075,0.818181818181818,0.931034482758621,0.181818181818182,0.0689655172413793,11.8636363636364,0.195286195286195
"7",0.2485,3.70717593139662,0.725,0.443006786959528,0.620689655172414,0.782738095238095,0.75,0.714285714285714,0.25,0.285714285714286,2.625,0.35
"8",0.1065,2.0001729781801,0.7,0.420359061786038,0.647058823529412,0.799107142857143,0.916666666666667,0.607142857142857,0.0833333333333334,0.392857142857143,2.33333333333333,0.137254901960784
"9",0.1475,2.30036754669004,0.75,0.379038166739643,0.722222222222222,0.893162393162393,1,0.62962962962963,0,0.37037037037037,2.7,0
"10",0.2045,3.45102046695876,0.85,0.369139374720334,0.769230769230769,0.84672619047619,0.833333333333333,0.857142857142857,0.166666666666667,0.142857142857143,5.83333333333333,0.194444444444444
"11",0.132,2.35065509764086,0.875,0.387152275298721,0.827586206896552,0.878917378917379,0.923076923076923,0.851851851851852,0.0769230769230769,0.148148148148148,6.23076923076923,0.0903010033444815
"12",0.3625,5.02855600164391,0.825,0.355431010700796,0.740740740740741,0.84672619047619,0.833333333333333,0.821428571428571,0.166666666666667,0.178571428571429,4.66666666666667,0.202898550724638
"13",0.146,2.5479738740154,0.8,0.368612801294264,0.714285714285714,0.892857142857143,0.833333333333333,0.785714285714286,0.166666666666667,0.214285714285714,3.88888888888889,0.212121212121212
"14",0.151,3.44543706544488,0.8,0.455222156293351,0.789473684210526,0.838383838383838,0.833333333333333,0.772727272727273,0.166666666666667,0.227272727272727,3.66666666666667,0.215686274509804
"15",0.431,5.26040739066371,0.875,0.34589787562752,0.736842105263158,0.811827956989247,0.777777777777778,0.903225806451613,0.222222222222222,0.0967741935483871,8.03703703703703,0.246031746031746
"16",0.1725,2.87217384147519,0.85,0.342433926912717,0.727272727272727,0.801666666666667,0.8,0.866666666666667,0.2,0.133333333333333,6,0.230769230769231
"17",0.1235,2.0766219149039,0.725,0.388646232793248,0.717948717948718,0.851648351648352,1,0.576923076923077,0,0.423076923076923,2.36363636363636,0
"18",0.2615,3.60216824800344,0.825,0.360035861842964,0.631578947368421,0.807359307359307,0.857142857142857,0.818181818181818,0.142857142857143,0.181818181818182,4.71428571428572,0.174603174603175
"19",0.52,6.9522904337884,0.875,0.340042037953139,0.705882352941177,0.808333333333333,0.6,0.966666666666667,0.4,0.0333333333333333,18,0.413793103448276
"20",0.3065,4.9091379425938,0.85,0.35848116912056,0.75,0.87202380952381,0.75,0.892857142857143,0.25,0.107142857142857,7,0.28
"21",0.429,5.75152797316704,0.9,0.309452493946595,0.714285714285714,0.874458874458874,0.714285714285714,0.939393939393939,0.285714285714286,0.0606060606060606,11.7857142857143,0.304147465437788
"22",0.181,2.85436889025074,0.925,0.326891478051582,0.888888888888889,0.96577380952381,1,0.892857142857143,0,0.107142857142857,9.33333333333334,0
"23",0.1715,2.86963883783242,0.85,0.35579948652576,0.8125,0.896978021978022,0.928571428571429,0.807692307692308,0.0714285714285714,0.192307692307692,4.82857142857143,0.0884353741496598
"24",0.13,2.29636836422884,0.65,0.46296308937332,0.533333333333333,0.728333333333333,0.8,0.6,0.2,0.4,2,0.333333333333333
"25",0.322,5.271313428785,0.875,0.361282584713696,0.615384615384615,0.765232974910394,0.444444444444444,1,0.555555555555556,0,Inf,0.555555555555556
"26",0.5195,7.05067656442166,0.925,0.29396045327686,0.857142857142857,0.927899686520376,0.818181818181818,0.96551724137931,0.181818181818182,0.0344827586206896,23.7272727272728,0.188311688311688
"27",0.6245,6.95010751888495,0.85,0.371500373904483,0.7,0.881666666666667,0.7,0.9,0.3,0.1,7,0.333333333333333
"28",0.3045,5.02616093213824,0.825,0.381695478146602,0.72,0.839031339031339,0.692307692307692,0.888888888888889,0.307692307692308,0.111111111111111,6.23076923076923,0.346153846153846
"29",0.267,4.64445849973785,0.775,0.443627581156198,0.666666666666667,0.754666666666667,0.6,0.88,0.4,0.12,5,0.454545454545455
"30",0.142,2.30051198649306,0.725,0.390016720085636,0.645161290322581,0.841666666666667,1,0.633333333333333,0,0.366666666666667,2.72727272727273,0
"31",0.1475,2.51997679969166,0.85,0.361986101406671,0.769230769230769,0.860119047619048,0.833333333333333,0.857142857142857,0.166666666666667,0.142857142857143,5.83333333333333,0.194444444444444
"32",0.2745,4.10560182237498,0.85,0.373330814466268,0.666666666666667,0.82258064516129,0.666666666666667,0.903225806451613,0.333333333333333,0.0967741935483871,6.88888888888889,0.369047619047619
"33",0.275,3.87089586116662,0.85,0.355276209591289,0.727272727272727,0.874551971326165,0.888888888888889,0.838709677419355,0.111111111111111,0.161290322580645,5.51111111111111,0.132478632478633
"34",0.3655,5.02569313819861,0.825,0.363921256569572,0.461538461538462,0.670995670995671,0.428571428571429,0.909090909090909,0.571428571428571,0.0909090909090909,4.71428571428571,0.628571428571429
"35",0.3075,4.95063034508699,0.925,0.301102966604177,0.842105263157895,0.844827586206897,0.727272727272727,1,0.272727272727273,0,Inf,0.272727272727273
"36",0.217,3.65469850897624,0.775,0.408667125233119,0.64,0.767857142857143,0.666666666666667,0.821428571428571,0.333333333333333,0.178571428571429,3.73333333333333,0.405797101449275
"37",0.1025,2.29818839205969,0.75,0.432303058752621,0.705882352941177,0.79532967032967,0.857142857142857,0.692307692307692,0.142857142857143,0.307692307692308,2.78571428571429,0.206349206349206
"38",0.234,3.87346498985491,0.825,0.371714988885689,0.72,0.84077380952381,0.75,0.857142857142857,0.25,0.142857142857143,5.25,0.291666666666667
"39",0.3225,5.2012685761543,0.8,0.387778920463626,0.666666666666667,0.813390313390313,0.615384615384615,0.888888888888889,0.384615384615385,0.111111111111111,5.53846153846154,0.432692307692308
"40",0.108,2.30354410214878,0.775,0.422101021420201,0.709677419354839,0.824175824175824,0.785714285714286,0.769230769230769,0.214285714285714,0.230769230769231,3.40476190476191,0.278571428571429
"41",0.8005,8.7085873607131,0.85,0.385190803117519,0.625,0.799283154121864,0.555555555555556,0.935483870967742,0.444444444444444,0.0645161290322581,8.6111111111111,0.475095785440613
"42",0.1385,2.29894558534001,0.85,0.363118157700707,0.785714285714286,0.90625,0.916666666666667,0.821428571428571,0.0833333333333334,0.178571428571429,5.13333333333333,0.101449275362319
"43",0.1325,2.55523807899735,0.8,0.400708327824093,0.764705882352941,0.854395604395604,0.928571428571429,0.730769230769231,0.0714285714285714,0.269230769230769,3.44897959183673,0.0977443609022556
"44",0.3505,5.2099258667458,0.9,0.30197062927489,0.8,0.95,0.8,0.933333333333333,0.2,0.0666666666666667,12,0.214285714285714
"45",0.156,2.56638108971085,0.675,0.42500607671897,0.606060606060606,0.775862068965517,0.909090909090909,0.586206896551724,0.0909090909090909,0.413793103448276,2.1969696969697,0.155080213903743
"46",0.64,7.69976158583231,0.85,0.377236589780304,0.571428571428571,0.788530465949821,0.444444444444444,0.967741935483871,0.555555555555556,0.032258064516129,13.7777777777778,0.574074074074074
"47",0.518,6.66607837337048,0.85,0.345466583141501,0.666666666666667,0.84,0.6,0.933333333333333,0.4,0.0666666666666667,9,0.428571428571429
"48",0.524,6.64127690723076,0.925,0.295519982033012,0.769230769230769,0.852813852813853,0.714285714285714,0.96969696969697,0.285714285714286,0.0303030303030303,23.5714285714286,0.294642857142857
"49",0.6985,7.32836956412351,0.8,0.4392182243706,0.6,0.773809523809524,0.5,0.928571428571429,0.5,0.0714285714285714,7,0.538461538461538
"50",0.1385,2.85406529063006,0.85,0.405983860772852,0.8,0.865333333333333,0.8,0.88,0.2,0.12,6.66666666666667,0.227272727272727
"51",0.1745,3.25772652267709,0.8,0.430572833241681,0.636363636363636,0.773333333333333,0.7,0.833333333333333,0.3,0.166666666666667,4.2,0.36
"52",0.191,3.32917530292113,0.8,0.370185104922269,0.714285714285714,0.839031339031339,0.769230769230769,0.814814814814815,0.230769230769231,0.185185185185185,4.15384615384615,0.283216783216783
"53",0.949,10.4563625399042,0.875,0.412355306062428,0.545454545454545,0.69047619047619,0.428571428571429,0.96969696969697,0.571428571428571,0.0303030303030303,14.1428571428572,0.589285714285714
"54",0.7355,7.7007411462573,0.875,0.389843866727063,0.666666666666667,0.79296875,0.625,0.9375,0.375,0.0625,10,0.4
"55",0.408,5.33430250560004,0.95,0.261465082316063,0.75,0.913194444444444,0.75,0.972222222222222,0.25,0.0277777777777778,27,0.257142857142857
"56",0.115,2.29521576863125,0.8,0.417071216859089,0.733333333333333,0.857549857549858,0.846153846153846,0.777777777777778,0.153846153846154,0.222222222222222,3.80769230769231,0.197802197802198
"57",0.227,3.44945552647545,0.825,0.34907049050214,0.72,0.851097178683386,0.818181818181818,0.827586206896552,0.181818181818182,0.172413793103448,4.74545454545455,0.21969696969697
"58",0.118,2.65438407120339,0.675,0.458002589666881,0.580645161290323,0.686609686609687,0.692307692307692,0.666666666666667,0.307692307692308,0.333333333333333,2.07692307692308,0.461538461538462
"59",0.2015,3.44635535271163,0.775,0.425662973406899,0.666666666666667,0.77827380952381,0.75,0.785714285714286,0.25,0.214285714285714,3.5,0.318181818181818
"60",0.348,4.95089863985238,0.775,0.401220445716682,0.571428571428571,0.751666666666667,0.6,0.833333333333333,0.4,0.166666666666667,3.6,0.48
"61",0.281,4.20322039169486,0.825,0.364290100265782,0.666666666666667,0.841666666666667,0.7,0.866666666666667,0.3,0.133333333333333,5.25,0.346153846153846
"62",0.2345,4.1211004178363,0.875,0.347648949833112,0.761904761904762,0.870535714285714,0.666666666666667,0.964285714285714,0.333333333333333,0.0357142857142857,18.6666666666667,0.345679012345679
"63",0.2525,3.60504894442422,0.8,0.395553477874464,0.555555555555556,0.779220779220779,0.714285714285714,0.818181818181818,0.285714285714286,0.181818181818182,3.92857142857143,0.349206349206349
"64",0.099,2.3015182060841,0.75,0.427749365460775,0.705882352941177,0.808,0.8,0.72,0.2,0.28,2.85714285714286,0.277777777777778
"65",0.16,2.8047701256045,0.825,0.366337994340214,0.72,0.84077380952381,0.75,0.857142857142857,0.25,0.142857142857143,5.25,0.291666666666667
"66",0.2515,3.91322940280063,0.925,0.299736662018905,0.823529411764706,0.903225806451613,0.777777777777778,0.967741935483871,0.222222222222222,0.032258064516129,24.1111111111111,0.22962962962963
"67",0.409,5.75402157280421,0.9,0.341889871487976,0.714285714285714,0.794921875,0.625,0.96875,0.375,0.03125,20,0.387096774193548
"68",0.196,3.31091484769098,0.875,0.36163816603689,0.736842105263158,0.845878136200717,0.777777777777778,0.903225806451613,0.222222222222222,0.0967741935483871,8.03703703703703,0.246031746031746
"69",0.687,6.95362775116546,0.875,0.378262858225665,0.615384615384615,0.79656862745098,0.666666666666667,0.911764705882353,0.333333333333333,0.0882352941176471,7.55555555555555,0.365591397849462
"70",0.2325,3.60368149540072,0.775,0.372701233754891,0.526315789473684,0.77734375,0.625,0.8125,0.375,0.1875,3.33333333333333,0.461538461538462
"71",0.312,4.98059560283459,0.85,0.372462836588396,0.625,0.84,0.5,0.966666666666667,0.5,0.0333333333333333,15,0.517241379310345
"72",0.2955,5.0265623333298,0.85,0.38738203028914,0.769230769230769,0.832417582417582,0.714285714285714,0.923076923076923,0.285714285714286,0.0769230769230769,9.28571428571429,0.309523809523809
"73",0.136,2.29800574336635,0.675,0.441389563289118,0.628571428571429,0.772321428571428,0.916666666666667,0.571428571428571,0.0833333333333334,0.428571428571429,2.13888888888889,0.145833333333333
"74",0.6205,7.69620017434841,0.925,0.286926606477465,0.823529411764706,0.912186379928315,0.777777777777778,0.967741935483871,0.222222222222222,0.032258064516129,24.1111111111111,0.22962962962963
"75",0.195,3.6569321137563,0.825,0.392259983319187,0.695652173913043,0.796130952380952,0.666666666666667,0.892857142857143,0.333333333333333,0.107142857142857,6.22222222222222,0.373333333333333
"76",0.154,2.77947745334539,0.775,0.393427481345296,0.756756756756757,0.872395833333333,0.875,0.708333333333333,0.125,0.291666666666667,3,0.176470588235294
"77",0.5455,7.97936103061319,0.9,0.313862977623727,0.833333333333333,0.934065934065934,0.714285714285714,1,0.285714285714286,0,Inf,0.285714285714286
"78",0.2055,3.60457801267344,0.9,0.347943367788459,0.818181818181818,0.890282131661442,0.818181818181818,0.931034482758621,0.181818181818182,0.0689655172413793,11.8636363636364,0.195286195286195
"79",0.0985,1.81881580054731,0.75,0.422344208532641,0.642857142857143,0.83,0.9,0.7,0.1,0.3,3,0.142857142857143
"80",0.5715,6.95256706648666,0.9,0.325970399846548,0.8,0.886666666666667,0.8,0.933333333333333,0.2,0.0666666666666667,12,0.214285714285714
"81",0.283,4.23627555881697,0.875,0.317337850622347,0.827586206896552,0.923076923076923,0.923076923076923,0.851851851851852,0.0769230769230769,0.148148148148148,6.23076923076923,0.0903010033444815
"82",0.302,4.60878976076968,0.825,0.367413058871318,0.695652173913043,0.857142857142857,0.666666666666667,0.892857142857143,0.333333333333333,0.107142857142857,6.22222222222222,0.373333333333333
"83",0.321,5.02979598483082,0.9,0.324519718335008,0.714285714285714,0.840501792114695,0.555555555555556,1,0.444444444444444,0,Inf,0.444444444444444
"84",0.233,3.25472140742722,0.9,0.293968881497886,0.777777777777778,0.945887445887446,1,0.878787878787879,0,0.121212121212121,8.25,0
"85",0.4125,5.55523737369188,0.85,0.374014470739547,0.7,0.81974921630094,0.636363636363636,0.931034482758621,0.363636363636364,0.0689655172413793,9.22727272727272,0.390572390572391
"86",0.3375,4.94507989103751,0.875,0.328623217674818,0.736842105263158,0.871666666666667,0.7,0.933333333333333,0.3,0.0666666666666667,10.5,0.321428571428571
"87",0.2155,3.97142067511832,0.825,0.394370986288532,0.740740740740741,0.785714285714286,0.714285714285714,0.884615384615385,0.285714285714286,0.115384615384615,6.19047619047619,0.322981366459627
"88",0.2495,4.15246427534857,0.9,0.33355940696545,0.777777777777778,0.831666666666667,0.7,0.966666666666667,0.3,0.0333333333333333,21,0.310344827586207
"89",0.1475,2.40976906867453,0.8,0.364792889875449,0.692307692307692,0.835423197492163,0.818181818181818,0.793103448275862,0.181818181818182,0.206896551724138,3.95454545454546,0.229249011857707
"90",0.254,3.9654367172258,0.875,0.334151475370462,0.761904761904762,0.863333333333333,0.8,0.9,0.2,0.1,8,0.222222222222222
"91",0.142,2.64251567085671,0.825,0.393525924195798,0.72,0.838557993730408,0.818181818181818,0.827586206896552,0.181818181818182,0.172413793103448,4.74545454545455,0.21969696969697
"92",0.3605,5.75076313837287,0.95,0.287105589464512,0.923076923076923,0.982905982905983,0.923076923076923,0.962962962962963,0.0769230769230769,0.0370370370370371,24.9230769230769,0.0798816568047337
"93",0.4635,6.65601151259613,0.925,0.286837079050869,0.842105263157895,0.934169278996865,0.727272727272727,1,0.272727272727273,0,Inf,0.272727272727273
"94",0.6255,7.70363643591909,0.85,0.379032890227258,0.7,0.729166666666667,0.583333333333333,0.964285714285714,0.416666666666667,0.0357142857142857,16.3333333333333,0.432098765432099
"95",0.5615,7.49007993429308,0.875,0.331836236009035,0.761904761904762,0.869047619047619,0.666666666666667,0.964285714285714,0.333333333333333,0.0357142857142857,18.6666666666667,0.345679012345679
"96",0.299,5.0313581222926,0.875,0.366967391437235,0.761904761904762,0.828869047619048,0.666666666666667,0.964285714285714,0.333333333333333,0.0357142857142857,18.6666666666667,0.345679012345679
"97",0.586,7.07984284727506,0.85,0.359121947071733,0.666666666666667,0.828333333333333,0.6,0.933333333333333,0.4,0.0666666666666667,9,0.428571428571429
"98",0.238,4.05851634535444,0.825,0.411153348149686,0.72,0.849002849002849,0.692307692307692,0.888888888888889,0.307692307692308,0.111111111111111,6.23076923076923,0.346153846153846
