"x.sorted","tp","fp","tn","fn","tpr","tnr","fpr","fnr","name"
Inf,0,0,97,37,0,1,0,1,"LR"
0.999898393548811,1,0,97,36,0.027027027027027,1,0,0.972972972972973,"LR"
0.993107279061143,2,0,97,35,0.0540540540540541,1,0,0.945945945945946,"LR"
0.988537946230883,3,0,97,34,0.0810810810810811,1,0,0.918918918918919,"LR"
0.979861612090134,4,0,97,33,0.108108108108108,1,0,0.891891891891892,"LR"
0.964851148541411,5,0,97,32,0.135135135135135,1,0,0.864864864864865,"LR"
0.952419116395801,6,0,97,31,0.162162162162162,1,0,0.837837837837838,"LR"
0.938210581578182,7,0,97,30,0.189189189189189,1,0,0.810810810810811,"LR"
0.889792832225144,7,1,96,30,0.189189189189189,0.989690721649485,0.0103092783505154,0.810810810810811,"LR"
0.881809131216196,8,1,96,29,0.216216216216216,0.989690721649485,0.0103092783505154,0.783783783783784,"LR"
0.859639006446726,9,1,96,28,0.243243243243243,0.989690721649485,0.0103092783505154,0.756756756756757,"LR"
0.854807883425804,10,1,96,27,0.27027027027027,0.989690721649485,0.0103092783505154,0.72972972972973,"LR"
0.834092658043268,11,1,96,26,0.297297297297297,0.989690721649485,0.0103092783505154,0.702702702702703,"LR"
0.822877112088399,12,1,96,25,0.324324324324324,0.989690721649485,0.0103092783505154,0.675675675675676,"LR"
0.785684697871702,12,2,95,25,0.324324324324324,0.979381443298969,0.020618556701031,0.675675675675676,"LR"
0.757900509923133,13,2,95,24,0.351351351351351,0.979381443298969,0.020618556701031,0.648648648648649,"LR"
0.750583627009143,14,2,95,23,0.378378378378378,0.979381443298969,0.020618556701031,0.621621621621622,"LR"
0.743120559325964,14,3,94,23,0.378378378378378,0.969072164948454,0.0309278350515464,0.621621621621622,"LR"
0.72776241305189,15,3,94,22,0.405405405405405,0.969072164948454,0.0309278350515464,0.594594594594595,"LR"
0.71184210057845,16,3,94,21,0.432432432432432,0.969072164948454,0.0309278350515464,0.567567567567568,"LR"
0.633918350434382,16,4,93,21,0.432432432432432,0.958762886597938,0.0412371134020618,0.567567567567568,"LR"
0.596561883997951,17,4,93,20,0.459459459459459,0.958762886597938,0.0412371134020618,0.540540540540541,"LR"
0.577424099335088,18,5,92,19,0.486486486486487,0.948453608247423,0.0515463917525774,0.513513513513513,"LR"
0.518829113403843,19,5,92,18,0.513513513513513,0.948453608247423,0.0515463917525774,0.486486486486487,"LR"
0.508968066572253,19,6,91,18,0.513513513513513,0.938144329896907,0.0618556701030928,0.486486486486487,"LR"
0.449923516136044,19,7,90,18,0.513513513513513,0.927835051546392,0.0721649484536082,0.486486486486487,"LR"
0.420339116185423,19,8,89,18,0.513513513513513,0.917525773195876,0.0824742268041238,0.486486486486487,"LR"
0.401706529165335,21,8,89,16,0.567567567567568,0.917525773195876,0.0824742268041238,0.432432432432432,"LR"
0.392256831295841,21,9,88,16,0.567567567567568,0.907216494845361,0.0927835051546392,0.432432432432432,"LR"
0.355319042243794,21,10,87,16,0.567567567567568,0.896907216494845,0.103092783505155,0.432432432432432,"LR"
0.346328896836967,23,10,87,14,0.621621621621622,0.896907216494845,0.103092783505155,0.378378378378378,"LR"
0.315748109120882,23,11,86,14,0.621621621621622,0.88659793814433,0.11340206185567,0.378378378378378,"LR"
0.303096587747514,23,12,85,14,0.621621621621622,0.876288659793814,0.123711340206186,0.378378378378378,"LR"
0.294823496256203,23,13,84,14,0.621621621621622,0.865979381443299,0.134020618556701,0.378378378378378,"LR"
0.278679091039856,24,13,84,13,0.648648648648649,0.865979381443299,0.134020618556701,0.351351351351351,"LR"
0.270813489205924,25,13,84,12,0.675675675675676,0.865979381443299,0.134020618556701,0.324324324324324,"LR"
0.248070962216575,25,14,83,12,0.675675675675676,0.855670103092783,0.144329896907217,0.324324324324324,"LR"
0.244407536413631,25,15,82,12,0.675675675675676,0.845360824742268,0.154639175257732,0.324324324324324,"LR"
0.233638479102667,26,16,81,11,0.702702702702703,0.835051546391753,0.164948453608247,0.297297297297297,"LR"
0.213105476475761,27,17,80,10,0.72972972972973,0.824742268041237,0.175257731958763,0.27027027027027,"LR"
0.206560662825773,27,18,79,10,0.72972972972973,0.814432989690722,0.185567010309278,0.27027027027027,"LR"
0.206560662825773,27,19,78,10,0.72972972972973,0.804123711340206,0.195876288659794,0.27027027027027,"LR"
0.187824128146048,27,20,77,10,0.72972972972973,0.793814432989691,0.206185567010309,0.27027027027027,"LR"
0.181876287716255,27,22,75,10,0.72972972972973,0.77319587628866,0.22680412371134,0.27027027027027,"LR"
0.178957749133612,28,22,75,9,0.756756756756757,0.77319587628866,0.22680412371134,0.243243243243243,"LR"
0.176075964426764,29,22,75,8,0.783783783783784,0.77319587628866,0.22680412371134,0.216216216216216,"LR"
0.170422089433744,29,24,73,8,0.783783783783784,0.752577319587629,0.247422680412371,0.216216216216216,"LR"
0.164913424787697,30,25,72,7,0.810810810810811,0.742268041237113,0.257731958762887,0.189189189189189,"LR"
0.159548574888601,31,27,70,6,0.837837837837838,0.721649484536082,0.278350515463918,0.162162162162162,"LR"
