"","acc","rmse","f1","auc","sens","spec","fnr","fpr","plr","nlr"
"1",0.903225806451613,0.307264590275356,0.857142857142857,0.923809523809524,0.9,0.904761904761905,0.1,0.0952380952380952,9.45,0.110526315789474
"2",0.774193548387097,0.374712319527434,0.588235294117647,0.769021739130435,0.625,0.826086956521739,0.375,0.173913043478261,3.59375,0.453947368421053
"3",0.838709677419355,0.30887128776626,0.666666666666667,0.96195652173913,0.625,0.91304347826087,0.375,0.0869565217391305,7.1875,0.410714285714286
"4",0.741935483870968,0.407544727161576,0.6,0.842857142857143,0.6,0.80952380952381,0.4,0.19047619047619,3.15,0.494117647058824
"5",0.838709677419355,0.335236014477962,0.705882352941177,0.941919191919192,0.666666666666667,0.909090909090909,0.333333333333333,0.0909090909090909,7.33333333333333,0.366666666666667
"6",0.838709677419355,0.344291682294162,0.8,0.930672268907563,0.714285714285714,0.941176470588235,0.285714285714286,0.0588235294117647,12.1428571428571,0.303571428571429
"7",0.67741935483871,0.444775221940772,0.615384615384615,0.772727272727273,0.727272727272727,0.65,0.272727272727273,0.35,2.07792207792208,0.41958041958042
"8",0.870967741935484,0.334293742876411,0.714285714285714,0.910714285714286,0.714285714285714,0.916666666666667,0.285714285714286,0.0833333333333334,8.57142857142857,0.311688311688312
"9",0.709677419354839,0.449729142892129,0.470588235294118,0.770833333333333,0.571428571428571,0.75,0.428571428571429,0.25,2.28571428571429,0.571428571428572
"10",0.774193548387097,0.401416460915818,0.588235294117647,0.833333333333333,0.714285714285714,0.791666666666667,0.285714285714286,0.208333333333333,3.42857142857143,0.360902255639098
"11",0.806451612903226,0.359243222719337,0.7,0.880952380952381,0.7,0.857142857142857,0.3,0.142857142857143,4.9,0.35
"12",0.709677419354839,0.44724777052188,0.608695652173913,0.795454545454545,0.636363636363636,0.75,0.363636363636364,0.25,2.54545454545455,0.484848484848485
"13",0.774193548387097,0.314573504776886,0.695652173913043,0.921717171717172,0.888888888888889,0.727272727272727,0.111111111111111,0.272727272727273,3.25925925925926,0.152777777777778
"14",0.67741935483871,0.476434828197078,0.5,0.831196581196581,0.384615384615385,0.888888888888889,0.615384615384615,0.111111111111111,3.46153846153846,0.692307692307692
"15",0.838709677419355,0.366437001428148,0.782608695652174,0.931818181818182,0.818181818181818,0.85,0.181818181818182,0.15,5.45454545454545,0.213903743315508
"16",0.806451612903226,0.369908834619379,0.7,0.861904761904762,0.7,0.857142857142857,0.3,0.142857142857143,4.9,0.35
"17",0.67741935483871,0.476264370724025,0.5,0.790760869565217,0.625,0.695652173913043,0.375,0.304347826086957,2.05357142857143,0.5390625
"18",0.870967741935484,0.33749332582036,0.75,0.898809523809524,0.857142857142857,0.875,0.142857142857143,0.125,6.85714285714286,0.163265306122449
"19",0.838709677419355,0.385213023246515,0.736842105263158,0.879385964912281,0.583333333333333,1,0.416666666666667,0,Inf,0.416666666666667
"20",0.838709677419355,0.290913565916542,0.705882352941177,0.94047619047619,0.857142857142857,0.833333333333333,0.142857142857143,0.166666666666667,5.14285714285714,0.171428571428571
"21",0.709677419354839,0.429502879065344,0.4,0.722826086956522,0.375,0.826086956521739,0.625,0.173913043478261,2.15625,0.756578947368421
"22",0.741935483870968,0.399325410939787,0.428571428571429,0.72,0.5,0.8,0.5,0.2,2.5,0.625
"23",0.774193548387097,0.365851178637206,0.695652173913043,0.895238095238095,0.8,0.761904761904762,0.2,0.238095238095238,3.36,0.2625
"24",0.709677419354839,0.393995072953172,0.571428571428571,0.835858585858586,0.666666666666667,0.727272727272727,0.333333333333333,0.272727272727273,2.44444444444444,0.458333333333333
"25",0.806451612903226,0.370518897233766,0.7,0.845959595959596,0.777777777777778,0.818181818181818,0.222222222222222,0.181818181818182,4.27777777777778,0.271604938271605
"26",0.870967741935484,0.294550760479462,0.818181818181818,0.947619047619048,0.9,0.857142857142857,0.1,0.142857142857143,6.3,0.116666666666667
"27",0.806451612903226,0.389336279758686,0.7,0.896929824561403,0.583333333333333,0.947368421052632,0.416666666666667,0.0526315789473685,11.0833333333333,0.439814814814815
"28",0.806451612903226,0.396272604523325,0.7,0.879385964912281,0.583333333333333,0.947368421052632,0.416666666666667,0.0526315789473685,11.0833333333333,0.439814814814815
"29",0.838709677419355,0.298738221369295,0.705882352941177,0.951086956521739,0.75,0.869565217391304,0.25,0.130434782608696,5.75,0.2875
"30",0.774193548387097,0.391843054984412,0.588235294117647,0.859090909090909,0.454545454545455,0.95,0.545454545454545,0.05,9.09090909090908,0.574162679425837
"31",0.870967741935484,0.380666340340372,0.8,0.888636363636364,0.727272727272727,0.95,0.272727272727273,0.05,14.5454545454545,0.287081339712919
"32",0.935483870967742,0.304255787409832,0.888888888888889,0.96969696969697,0.888888888888889,0.954545454545455,0.111111111111111,0.0454545454545454,19.5555555555556,0.116402116402116
"33",0.903225806451613,0.252436866203011,0.842105263157895,0.983695652173913,1,0.869565217391304,0,0.130434782608696,7.66666666666667,0
"34",0.870967741935484,0.255875847485472,0.714285714285714,1,1,0.846153846153846,0,0.153846153846154,6.5,0
"35",0.806451612903226,0.377436942850981,0.666666666666667,0.888095238095238,0.6,0.904761904761905,0.4,0.0952380952380952,6.3,0.442105263157895
"36",0.806451612903226,0.333367584454989,0.666666666666667,0.904761904761905,0.857142857142857,0.791666666666667,0.142857142857143,0.208333333333333,4.11428571428571,0.180451127819549
"37",0.709677419354839,0.397651422741899,0.571428571428571,0.816666666666667,0.6,0.761904761904762,0.4,0.238095238095238,2.52,0.525
"38",0.741935483870968,0.423029955913789,0.555555555555556,0.866666666666667,0.5,0.857142857142857,0.5,0.142857142857143,3.5,0.583333333333333
"39",0.774193548387097,0.346408734482895,0.695652173913043,0.890909090909091,0.727272727272727,0.8,0.272727272727273,0.2,3.63636363636364,0.340909090909091
"40",0.838709677419355,0.327107311146243,0.666666666666667,0.946153846153846,1,0.807692307692308,0,0.192307692307692,5.2,0
"41",0.709677419354839,0.488790161499466,0.526315789473684,0.709090909090909,0.454545454545455,0.85,0.545454545454545,0.15,3.03030303030303,0.641711229946524
"42",0.709677419354839,0.423105335177389,0.666666666666667,0.845833333333333,0.6,0.8125,0.4,0.1875,3.2,0.492307692307692
"43",0.709677419354839,0.44620846596709,0.571428571428571,0.859649122807018,0.5,0.842105263157895,0.5,0.157894736842105,3.16666666666667,0.59375
"44",0.774193548387097,0.422510186050243,0.631578947368421,0.870614035087719,0.5,0.947368421052632,0.5,0.0526315789473685,9.49999999999999,0.527777777777778
"45",0.903225806451613,0.314847461129204,0.8,0.928571428571429,0.857142857142857,0.916666666666667,0.142857142857143,0.0833333333333334,10.2857142857143,0.155844155844156
"46",0.806451612903226,0.381204296301318,0.666666666666667,0.864130434782609,0.75,0.826086956521739,0.25,0.173913043478261,4.3125,0.302631578947368
"47",0.774193548387097,0.404390597250844,0.666666666666667,0.87719298245614,0.583333333333333,0.894736842105263,0.416666666666667,0.105263157894737,5.54166666666667,0.465686274509804
"48",0.870967741935484,0.31400857709476,0.8,0.957142857142857,0.8,0.904761904761905,0.2,0.0952380952380952,8.4,0.221052631578947
"49",0.741935483870968,0.4055546498792,0.5,0.776190476190476,0.4,0.904761904761905,0.6,0.0952380952380952,4.2,0.663157894736842
"50",0.806451612903226,0.387870717996609,0.7,0.868421052631579,0.583333333333333,0.947368421052632,0.416666666666667,0.0526315789473685,11.0833333333333,0.439814814814815
"51",0.806451612903226,0.3598717190159,0.625,0.893939393939394,0.555555555555556,0.909090909090909,0.444444444444444,0.0909090909090909,6.11111111111111,0.488888888888889
"52",0.774193548387097,0.361522559215623,0.631578947368421,0.866071428571428,0.857142857142857,0.75,0.142857142857143,0.25,3.42857142857143,0.190476190476191
"53",0.838709677419355,0.385167286472453,0.705882352941177,0.886363636363636,0.545454545454545,1,0.454545454545455,0,Inf,0.454545454545455
