"","optimal_cutoff","optimal_SUVcutoff","acc","rmse","f1","auc","sens","spec","fnr","fpr","plr","nlr"
"1",0.2525,7.53053848801145,0.8,0.434639259110646,0.75,0.784688995215311,0.818181818181818,0.789473684210526,0.181818181818182,0.210526315789474,3.88636363636364,0.23030303030303
"2",0.4935,8.50174697896987,0.766666666666667,0.42884744822724,0.666666666666667,0.832386363636364,0.875,0.727272727272727,0.125,0.272727272727273,3.20833333333333,0.171875
"3",0.39,9.50638546763787,0.866666666666667,0.386360950086951,0.8,0.92,0.8,0.9,0.2,0.1,8,0.222222222222222
"4",0.2275,6.51328377033512,0.8,0.4042733760287,0.769230769230769,0.911483253588517,0.909090909090909,0.736842105263158,0.0909090909090909,0.263157894736842,3.45454545454545,0.123376623376623
"5",0.291,7.65942951395013,0.733333333333333,0.402245794612823,0.666666666666667,0.78,0.8,0.7,0.2,0.3,2.66666666666667,0.285714285714286
"6",0.3385,9.04138141944265,0.833333333333333,0.420285195390703,0.736842105263158,0.803827751196172,0.636363636363636,0.947368421052632,0.363636363636364,0.0526315789473685,12.0909090909091,0.383838383838384
"7",0.2415,7.13425829826897,0.666666666666667,0.448079502367195,0.666666666666667,0.775462962962963,0.833333333333333,0.555555555555556,0.166666666666667,0.444444444444444,1.875,0.3
"8",0.293,7.51217607153208,0.833333333333333,0.392419868675851,0.705882352941177,0.792613636363636,0.75,0.863636363636364,0.25,0.136363636363636,5.5,0.289473684210526
"9",0.2965,7.53157219752761,0.7,0.461732668861728,0.571428571428571,0.693181818181818,0.75,0.681818181818182,0.25,0.318181818181818,2.35714285714286,0.366666666666667
"10",0.414,9.01978192973131,0.9,0.34131061891295,0.727272727272727,0.854166666666667,0.666666666666667,0.958333333333333,0.333333333333333,0.0416666666666666,16,0.347826086956522
"11",0.232,7.52459148438705,0.866666666666667,0.454033699701485,0.818181818181818,0.849537037037037,0.75,0.944444444444444,0.25,0.0555555555555556,13.5,0.264705882352941
"12",0.297,7.52249217027929,0.833333333333333,0.362170209669726,0.705882352941177,0.816770186335404,0.857142857142857,0.826086956521739,0.142857142857143,0.173913043478261,4.92857142857143,0.172932330827068
"13",0.289,7.51494051848662,0.766666666666667,0.400207332200143,0.666666666666667,0.785714285714286,0.777777777777778,0.761904761904762,0.222222222222222,0.238095238095238,3.26666666666667,0.291666666666667
"14",0.2405,7.08212128118874,0.766666666666667,0.431988495799198,0.666666666666667,0.755,0.7,0.8,0.3,0.2,3.5,0.375
"15",0.241,6.5200077385347,0.833333333333333,0.382092451936977,0.761904761904762,0.867724867724868,0.888888888888889,0.80952380952381,0.111111111111111,0.19047619047619,4.66666666666667,0.137254901960784
"16",0.818,10.4435914594058,0.8,0.476204257399334,0.571428571428571,0.68944099378882,0.571428571428571,0.869565217391304,0.428571428571429,0.130434782608696,4.38095238095238,0.492857142857143
"17",0.3235,7.51407034249467,0.9,0.339442693099854,0.823529411764706,0.950310559006211,1,0.869565217391304,0,0.130434782608696,7.66666666666667,0
"18",0.286,7.52959319602327,0.866666666666667,0.397445695444079,0.8,0.80952380952381,0.888888888888889,0.857142857142857,0.111111111111111,0.142857142857143,6.22222222222222,0.12962962962963
"19",0.3405,8.50415806071401,0.9,0.35711146941735,0.823529411764706,0.928571428571429,0.777777777777778,0.952380952380952,0.222222222222222,0.0476190476190477,16.3333333333333,0.233333333333333
"20",0.2945,7.50775490374057,0.8,0.38430154311192,0.75,0.8725,0.9,0.75,0.1,0.25,3.6,0.133333333333333
"21",0.5965,9.48365654151771,0.733333333333333,0.483311814276825,0.5,0.624338624338624,0.444444444444444,0.857142857142857,0.555555555555556,0.142857142857143,3.11111111111111,0.648148148148148
"22",0.27,7.51021644504336,0.866666666666667,0.396312683369653,0.8,0.9025,0.8,0.9,0.2,0.1,8,0.222222222222222
"23",0.4055,8.55873401465119,0.866666666666667,0.336388954616198,0.666666666666667,0.932,0.8,0.88,0.2,0.12,6.66666666666667,0.227272727272727
"24",0.264,6.51993472451676,0.8,0.364391375939878,0.727272727272727,0.883522727272727,1,0.727272727272727,0,0.272727272727273,3.66666666666667,0
