"","acc","rmse","f1","sens","spec","fnr","fpr","plr","nlr","best_lambda","FDG_SUV_PT","ADC_PT","FDG_SUV","ADC","FDG_LA","FDG_SA"
"1",0.823529411764706,0.451659488024095,0.8,0.75,0.8,0.25,0.2,3.75,0.3125,0.0671960707882346,0,0,0.0365885930349907,-0.00121848897221557,0,0.218406902441863
"2",0.647058823529412,0.409001187986959,0.666666666666667,1,1,0,0,Inf,0,0.0671960707882346,0,-0.000782860400196263,0.0393650171113561,0,0,0.253035437785935
"3",0.705882352941177,0.436532444051588,0.705882352941177,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,2,0.5,0.0671960707882346,0,0,0.159673318825948,0,0,0.159428493777449
"4",0.764705882352941,0.433765609490358,0.75,0.666666666666667,0.7,0.333333333333333,0.3,2.22222222222222,0.476190476190476,0.0671960707882346,0,0,0.0481181184480877,-0.000856501451526891,0,0.180936549611158
"5",0.823529411764706,0.353065911620502,0.769230769230769,1,1,0,0,Inf,0,0.0671960707882346,0,0,0.207234311147743,0,0,0
"6",0.764705882352941,0.37898956788967,0.777777777777778,0.875,0.857142857142857,0.125,0.142857142857143,6.125,0.145833333333333,0.0671960707882346,0,0,0.0688126307407368,0,0,0.211849470957014
"7",0.647058823529412,0.429426720392164,0.625,0.714285714285714,0.75,0.285714285714286,0.25,2.85714285714286,0.380952380952381,0.0671960707882346,0,0,0.101610002245052,0,0,0.184259984758824
"8",0.647058823529412,0.500756299334292,0.571428571428571,0.444444444444444,0.583333333333333,0.555555555555556,0.416666666666667,1.06666666666667,0.952380952380952,0.0671960707882346,0,-2.37585054458883e-06,0.16152054564961,0,0,0.145566313732554
"9",0.705882352941177,0.449133792523645,0.545454545454545,0.5,0.75,0.5,0.25,2,0.666666666666667,0.0671960707882346,0,-4.67551017608721e-05,0.0737641053109776,0,0,0.26435658589851
"10",0.705882352941177,0.47135771617539,0.736842105263158,0.7,0.625,0.3,0.375,1.86666666666667,0.48,0.0671960707882346,0,0,0,0,0,0.282176595138818
"11",0.705882352941177,0.406269361378296,0.666666666666667,0.714285714285714,0.777777777777778,0.285714285714286,0.222222222222222,3.21428571428571,0.36734693877551,0.0671960707882346,0,0,0.110443801492091,0,0,0.213215368135135
"12",0.588235294117647,0.512140477188315,0.222222222222222,0.142857142857143,0.6,0.857142857142857,0.4,0.357142857142857,1.42857142857143,0.0671960707882346,0,0,0.147057595300562,-0.000115141054424719,0,0.231061662861568
"13",0.705882352941177,0.450767962391877,0.705882352941177,0.6,0.6,0.4,0.4,1.5,0.666666666666667,0.0671960707882346,0,0,0.10350285841618,-0.00108954735696453,0,0.165580233481741
