"name","optimal_cutpoint","AUC_b","AUC_oob","F1_score_b","F1_score_oob","acc_b","acc_oob","sensitivity_b","sensitivity_oob","specificity_b","specificity_oob","cohens_kappa_b","cohens_kappa_oob","TP_b","FP_b","TN_b","FN_b","TP_oob","FP_oob","TN_oob","FN_oob"
"FDG_SUV",2.9,0.806770688213987,0.905555555555556,0.666666666666667,0.6,0.798507462686567,0.739130434782609,0.72972972972973,0.9,0.824742268041237,0.694444444444444,0.523822058436431,0.436734693877551,27,17,80,10,9,11,25,1
"FDG_SUV",2.95,0.855252159375871,0.796052631578947,0.6875,0.461538461538462,0.776119402985075,0.72,0.891891891891892,0.5,0.731958762886598,0.789473684210526,0.526947517062838,0.273858921161826,33,26,71,4,6,8,30,6
"FDG_SUV",2.6,0.826971301198105,0.861519607843137,0.653061224489796,0.642857142857143,0.746268656716418,0.782608695652174,0.864864864864865,0.75,0.701030927835051,0.794117647058823,0.471339057786029,0.491150442477876,32,29,68,5,9,7,27,3
"FDG_SUV",4.4,0.836862635831708,0.819327731092437,0.736842105263158,0.48,0.850746268656716,0.729166666666667,0.756756756756757,0.428571428571429,0.88659793814433,0.852941176470588,0.632776103041929,0.300448430493273,28,11,86,9,6,5,29,8
"FDG_SUV",2.7,0.816801337419894,0.914473684210526,0.666666666666667,0.647058823529412,0.791044776119403,0.76,0.756756756756757,0.916666666666667,0.804123711340206,0.710526315789474,0.517613782463358,0.488054607508532,28,19,78,9,11,11,27,1
"FDG_SUV",4.4,0.793675118417386,0.886324786324786,0.67741935483871,0.611111111111111,0.850746268656716,0.740740740740741,0.567567567567568,0.733333333333333,0.958762886597938,0.743589743589744,0.585010839269124,0.424657534246575,21,4,93,16,11,10,29,4
"FDG_SUV",7,0.868069100027863,0.809684684684685,0.741935483870968,0.421052631578947,0.880597014925373,0.775510204081633,0.621621621621622,0.333333333333333,0.979381443298969,0.918918918918919,0.668008671415299,0.293577981651376,23,2,95,14,4,3,34,8
"FDG_SUV",3.5,0.918222346057398,0.761752136752137,0.779220779220779,0.533333333333333,0.873134328358209,0.714285714285714,0.810810810810811,0.615384615384615,0.896907216494845,0.75,0.690405001359065,0.332684824902724,30,10,87,7,8,9,27,5
"FDG_SUV",5.5,0.846614655893006,0.783333333333333,0.647058823529412,0.555555555555556,0.82089552238806,0.813953488372093,0.594594594594595,0.5,0.907216494845361,0.909090909090909,0.528307421531241,0.439739413680782,22,9,88,15,5,3,30,5
"FDG_SUV",7,0.898021733073279,0.76989247311828,0.741935483870968,0.5,0.880597014925373,0.739130434782609,0.621621621621622,0.4,0.979381443298969,0.903225806451613,0.668008671415299,0.338129496402878,23,2,95,14,6,3,28,9
