"x.sorted","tp","fp","tn","fn","tpr","tnr","fpr","fnr","name"
Inf,0,0,73,31,0,1,0,1,"LR"
0.99989060241016,1,0,73,30,0.032258064516129,1,0,0.967741935483871,"LR"
0.992510462341246,2,0,73,29,0.0645161290322581,1,0,0.935483870967742,"LR"
0.987535870354082,3,0,73,28,0.0967741935483871,1,0,0.903225806451613,"LR"
0.978089489045218,4,0,73,27,0.129032258064516,1,0,0.870967741935484,"LR"
0.961761052087354,5,0,73,26,0.161290322580645,1,0,0.838709677419355,"LR"
0.948258869133354,6,0,73,25,0.193548387096774,1,0,0.806451612903226,"LR"
0.932855585421857,7,0,73,24,0.225806451612903,1,0,0.774193548387097,"LR"
0.880621705691835,7,1,72,24,0.225806451612903,0.986301369863014,0.0136986301369864,0.774193548387097,"LR"
0.872048807052487,8,1,72,23,0.258064516129032,0.986301369863014,0.0136986301369864,0.741935483870968,"LR"
0.848304046985515,9,1,72,22,0.290322580645161,0.986301369863014,0.0136986301369864,0.709677419354839,"LR"
0.843141912314154,10,1,72,21,0.32258064516129,0.986301369863014,0.0136986301369864,0.67741935483871,"LR"
0.821057014002223,11,1,72,20,0.354838709677419,0.986301369863014,0.0136986301369864,0.645161290322581,"LR"
0.809133713102544,12,1,72,19,0.387096774193548,0.986301369863014,0.0136986301369864,0.612903225806452,"LR"
0.76976563903829,12,2,71,19,0.387096774193548,0.972602739726027,0.0273972602739726,0.612903225806452,"LR"
0.740529004085954,13,2,71,18,0.419354838709677,0.972602739726027,0.0273972602739726,0.580645161290323,"LR"
0.73285430914679,14,2,71,17,0.451612903225806,0.972602739726027,0.0273972602739726,0.548387096774194,"LR"
0.7250368982562,14,3,70,17,0.451612903225806,0.958904109589041,0.041095890410959,0.548387096774194,"LR"
0.692390111145654,15,3,70,16,0.483870967741935,0.958904109589041,0.041095890410959,0.516129032258065,"LR"
0.611877972738522,15,4,69,16,0.483870967741935,0.945205479452055,0.0547945205479452,0.516129032258065,"LR"
0.573695429394635,16,4,69,15,0.516129032258065,0.945205479452055,0.0547945205479452,0.483870967741935,"LR"
0.554238331031787,17,5,68,14,0.548387096774194,0.931506849315068,0.0684931506849316,0.451612903225806,"LR"
