"name","measure_type","optimal_cutpoint","AUC_oob","sensitivity_oob","specificity_oob"
"FDG SUVmax","FDG-PET/CT",4.0388375,0.844521866975895,0.654609028890356,0.810918867302508
"FDG STAR","FDG-PET/CT",0.00535868673931784,0.837221669731516,0.701200171839684,0.800797667819231
"FDG SUVmax NTR","FDG-PET/CT",0.43200991705218,0.774006469528489,0.538936666519755,0.910445638283171
"FEC SUVmax","FEC-PET/CT",2.6798,0.739596120010264,0.528489682539683,0.830385179361141
"FEC STAR","FEC-PET/CT",0.00270118315949779,0.760767705723509,0.657690476190476,0.633572499028749
"FEC SUVmax NTR","FEC-PET/CT",0.341697015203476,0.63932888929636,0.584804365079365,0.644744648050608
"ADCmean","DW-MRI",821.993625,0.638645394447125,0.699730731437465,0.531326448502921
"ADCmean NTR","DW-MRI",1.56721001726249,0.53889382941596,0.770475487094605,0.240357083574099
