"measure","vis_measure","sens_mcnemar","spec_mcnemar","sens_padj","spec_padj"
"FDG_SUV","VIS_FDG",0.479500122186953,0.248213078989924,1,0.992852315959694
"FDG_STAR","VIS_FDG",1,0.248213078989924,1,0.992852315959694
"FDG_NTR","VIS_FDG",0.077099871743542,0.449691797968891,0.539699102204794,0.992852315959694
"FEC_SUV","VIS_FEC",0.479500122186953,0.617075077451974,1,0.992852315959694
"FEC_STAR","VIS_FEC",0.248213078989924,0.0736382701203028,1,0.368191350601514
"FEC_NTR","VIS_FEC",0.479500122186953,0.0455002638963585,1,0.273001583378151
"ADC","VIS_MRI",0.382733088885226,1.5046559906093e-09,1,1.05325919342651e-08
"ADC_NTR","VIS_MRI",0.0265002806024918,4.71203366149683e-12,0.212002244819935,3.76962692919746e-11
