"x.sorted","tp","fp","tn","fn","tpr","tnr","fpr","fnr","name"
Inf,0,0,69,31,0,1,0,1,"LR"
0.998127522123655,0,1,68,31,0,0.985507246376812,0.0144927536231884,1,"LR"
0.941028998779228,1,1,68,30,0.032258064516129,0.985507246376812,0.0144927536231884,0.967741935483871,"LR"
0.920631354590621,2,1,68,29,0.0645161290322581,0.985507246376812,0.0144927536231884,0.935483870967742,"LR"
0.893973251609602,3,1,68,28,0.0967741935483871,0.985507246376812,0.0144927536231884,0.903225806451613,"LR"
0.764060023756913,5,1,68,26,0.161290322580645,0.985507246376812,0.0144927536231884,0.838709677419355,"LR"
0.701844576422058,7,1,68,24,0.225806451612903,0.985507246376812,0.0144927536231884,0.774193548387097,"LR"
0.631143419452844,7,3,66,24,0.225806451612903,0.956521739130435,0.0434782608695652,0.774193548387097,"LR"
0.55432307628591,13,5,64,18,0.419354838709677,0.927536231884058,0.072463768115942,0.580645161290323,"LR"
0.474816712260154,17,7,62,14,0.548387096774194,0.898550724637681,0.101449275362319,0.451612903225806,"LR"
0.396566929448731,19,10,59,12,0.612903225806452,0.855072463768116,0.144927536231884,0.387096774193548,"LR"
0.323274886970263,26,16,53,5,0.838709677419355,0.768115942028985,0.231884057971015,0.161290322580645,"LR"
0.257742729613994,27,22,47,4,0.870967741935484,0.681159420289855,0.318840579710145,0.129032258064516,"LR"
0.201538577792225,28,33,36,3,0.903225806451613,0.521739130434783,0.478260869565217,0.0967741935483871,"LR"
0.155030628178013,30,54,15,1,0.967741935483871,0.217391304347826,0.782608695652174,0.032258064516129,"LR"
0.117673375682215,31,66,3,0,1,0.0434782608695652,0.956521739130435,0,"LR"
0.088376468450118,31,69,0,0,1,0,1,0,"LR"
