"name","optimal_cutpoint","auc","sens","spec"
"ADC",622.967,0.398222379040818,0.898951238140944,0.10679109907001
"ADC_NTR",1.07944210396951,0.547219050636919,0.683292649017649,0.32775083268616
"FDG_LA",11.54825,0.736754881439247,0.673668467806703,0.68530201419501
"FDG_NTR",0.431435961900042,0.817565827394546,0.572738036963037,0.91752176474692
"FDG_SA",8.05475,0.834177439204117,0.800034593959962,0.764549626659273
"FDG_SNSA",0.557513296308954,0.804047775547566,0.672895375417067,0.74749240770451
"FDG_STAR",0.00638502339520663,0.858334785621212,0.686598618048618,0.794461507678127
"FDG_SUV",4.719475,0.871034627561311,0.683935386590534,0.818818600645197
"FEC_LA",11.11075,0.67523270234643,0.546491865079365,0.549550332673862
"FEC_NTR",0.357915940303769,0.679808476212545,0.525345410800638,0.697599294537162
"FEC_SA",8.52575,0.793135105973139,0.548014285714286,0.713749091757915
"FEC_SNSA",0.256392202487055,0.561871748416927,0.729559523809524,0.330307607670108
"FEC_STAR",0.00285780574152433,0.758059099294717,0.657543057242907,0.643959090909091
"FEC_SUV",2.787125,0.753754810469793,0.53836369047619,0.825582668823265
"LR",4.9060957238279,0.870642604356964,0.800507619716884,0.85792286157365
